GENERATION_PROJECT,build_year,build_gen_predetermined,build_gen_energy_predetermined
Anhui-Biomass,2007,62.77570093457944,0
Anhui-Biomass,2012,648.6822429906542,0
Anhui-Biomass,2017,1527.5420560747664,0
Anhui-Coal,1987,682.0,0
Anhui-Coal,1992,855.0,0
Anhui-Coal,1997,2618.0,0
Anhui-Coal,2002,2793.0,0
Anhui-Coal,2007,17852.0,0
Anhui-Coal,2012,15850.0,0
Anhui-Coal,2017,10249.999999999984,0
Anhui-Gas,2017,120.0,0
Anhui-Hydro_NonPumped,1982,54.38000000000001,0
Anhui-Hydro_NonPumped,1987,85.84,0
Anhui-Hydro_NonPumped,1992,143.79,0
Anhui-Hydro_NonPumped,1997,114.83,0
Anhui-Hydro_NonPumped,2002,190.0,0
Anhui-Hydro_NonPumped,2007,950.0,0
Anhui-Hydro_NonPumped,2012,404.0,0
Anhui-Hydro_NonPumped,2017,330.0,0
Anhui-Hydro_Pumped,1997,80.0,0
Anhui-Hydro_Pumped,2007,227.13774235648643,0
Anhui-Hydro_Pumped,2012,750.0,0
Anhui-Hydro_Pumped,2017,600.0,0
Anhui-Solar_Distributed,2012,320.0,0
Anhui-Solar_Distributed,2017,5140.4,0
Anhui-Solar_Utility,2012,890.0,0
Anhui-Solar_Utility,2017,7365.599999999999,0
Anhui-Wind_Onshore,2012,1360.0,0
Anhui-Wind_Onshore,2017,2760.0,0
Beijing-Biomass,2012,184.0,0
Beijing-Biomass,2017,184.0,0
Beijing-Gas,2007,1970.0,0
Beijing-Gas,2012,5820.0,0
Beijing-Gas,2017,1492.0,0
Beijing-Hydro_NonPumped,1982,100.33,0
Beijing-Hydro_NonPumped,1987,158.38,0
Beijing-Hydro_NonPumped,1992,265.29,0
Beijing-Hydro_NonPumped,1997,211.83,0
Beijing-Hydro_Pumped,1992,22.0,0
Beijing-Hydro_Pumped,1997,800.0,0
Beijing-Solar_Distributed,2012,140.0,0
Beijing-Solar_Distributed,2017,423.9999999999999,0
Beijing-Solar_Utility,2012,20.0,0
Beijing-Solar_Utility,2017,31.0,0
Beijing-Wind_Onshore,2007,110.0,0
Beijing-Wind_Onshore,2012,40.0,0
Beijing-Wind_Onshore,2017,40.0,0
Chongqing-Biomass,2012,89.11111111111111,0
Chongqing-Biomass,2017,311.88888888888886,0
Chongqing-Coal,1992,726.0,0
Chongqing-Coal,1997,732.0,0
Chongqing-Coal,2002,717.0,0
Chongqing-Coal,2007,3239.0,0
Chongqing-Coal,2012,5305.0,0
Chongqing-Coal,2017,2640.0,0
Chongqing-Gas,2012,940.0,0
Chongqing-Hydro_NonPumped,1982,78.76,0
Chongqing-Hydro_NonPumped,1987,124.33,0
Chongqing-Hydro_NonPumped,1992,208.25,0
Chongqing-Hydro_NonPumped,1997,656.3,0
Chongqing-Hydro_NonPumped,2002,580.0,0
Chongqing-Hydro_NonPumped,2007,2970.0,0
Chongqing-Hydro_NonPumped,2012,1810.0,0
Chongqing-Hydro_NonPumped,2017,1150.0,0
Chongqing-Solar_Distributed,2017,55.0,0
Chongqing-Solar_Utility,2017,590.0,0
Chongqing-Wind_Onshore,2007,50.0,0
Chongqing-Wind_Onshore,2012,180.0,0
Chongqing-Wind_Onshore,2017,740.0,0
East_Inner_Mongolia-Coal,1987,400.0,0
East_Inner_Mongolia-Coal,1992,34.0,0
East_Inner_Mongolia-Coal,1997,1600.0,0
East_Inner_Mongolia-Coal,2002,254.0,0
East_Inner_Mongolia-Coal,2007,7852.0,0
East_Inner_Mongolia-Coal,2012,5685.0,0
East_Inner_Mongolia-Coal,2017,1118.32139201637,0
East_Inner_Mongolia-Hydro_NonPumped,1982,1.38,0
East_Inner_Mongolia-Hydro_NonPumped,1987,2.17,0
East_Inner_Mongolia-Hydro_NonPumped,1992,3.64,0
East_Inner_Mongolia-Hydro_NonPumped,1997,108.79,0
East_Inner_Mongolia-Hydro_NonPumped,2002,52.94,0
East_Inner_Mongolia-Hydro_NonPumped,2007,82.35,0
East_Inner_Mongolia-Solar_Distributed,2012,38.54928306726417,0
East_Inner_Mongolia-Solar_Distributed,2017,231.50986108729185,0
East_Inner_Mongolia-Solar_Utility,2012,1008.7062402600792,0
East_Inner_Mongolia-Solar_Utility,2017,1426.3234734887742,0
East_Inner_Mongolia-Wind_Onshore,2002,40.596438164248966,0
East_Inner_Mongolia-Wind_Onshore,2007,2282.9526402954125,0
East_Inner_Mongolia-Wind_Onshore,2012,3467.4134243817352,0
East_Inner_Mongolia-Wind_Onshore,2017,3250.103078914285,0
Fujian-Biomass,2012,55.39024390243903,0
Fujian-Biomass,2017,701.609756097561,0
Fujian-Coal,1987,12.0,0
Fujian-Coal,1992,306.0,0
Fujian-Coal,1997,2265.0,0
Fujian-Coal,2002,4408.0,0
Fujian-Coal,2007,9690.0,0
Fujian-Coal,2012,6090.0,0
Fujian-Coal,2017,5219.99999999999,0
Fujian-Gas,2007,3900.0,0
Fujian-Gas,2017,80.0,0
Fujian-Hydro_NonPumped,1982,446.3,0
Fujian-Hydro_NonPumped,1987,704.56,0
Fujian-Hydro_NonPumped,1992,1180.13,0
Fujian-Hydro_NonPumped,1997,1502.3399999999997,0
Fujian-Hydro_NonPumped,2002,2900.0,0
Fujian-Hydro_NonPumped,2007,2890.0,0
Fujian-Hydro_NonPumped,2012,500.0,0
Fujian-Hydro_NonPumped,2017,800.0,0
Fujian-Hydro_Pumped,2012,1200.0,0
Fujian-Hydro_Pumped,2017,600.0,0
Fujian-Nuclear,2012,5450.0,0
Fujian-Nuclear,2017,3260.0,0
Fujian-Solar_Distributed,2012,120.0,0
Fujian-Solar_Distributed,2017,1520.0,0
Fujian-Solar_Utility,2012,30.0,0
Fujian-Solar_Utility,2017,350.0,0
Fujian-Wind_Offshore_Near,2012,174.5631067961165,0
Fujian-Wind_Offshore_Near,2017,841.4368932038835,0
Fujian-Wind_Onshore,2002,52.0,0
Fujian-Wind_Onshore,2007,498.0,0
Fujian-Wind_Onshore,2012,995.4368932038836,0
Fujian-Wind_Onshore,2017,2298.5631067961167,0
Gansu-Biomass,2012,130.0,0
Gansu-Coal,1987,660.0,0
Gansu-Coal,1992,770.0,0
Gansu-Coal,1997,1021.0,0
Gansu-Coal,2002,2215.0,0
Gansu-Coal,2007,8225.0,0
Gansu-Coal,2012,3980.0,0
Gansu-Coal,2017,1710.0,0
Gansu-Hydro_NonPumped,1982,263.47,0
Gansu-Hydro_NonPumped,1987,415.93000000000006,0
Gansu-Hydro_NonPumped,1992,696.6700000000001,0
Gansu-Hydro_NonPumped,1997,696.3000000000001,0
Gansu-Hydro_NonPumped,2002,1060.0,0
Gansu-Hydro_NonPumped,2007,2100.0,0
Gansu-Hydro_NonPumped,2012,1770.0,0
Gansu-Hydro_NonPumped,2017,1070.0,0
Gansu-Solar_Distributed,2012,40.0,0
Gansu-Solar_Distributed,2017,699.799999999999,0
Gansu-Solar_Utility,2012,6060.0,0
Gansu-Solar_Utility,2017,2853.2000000000007,0
Gansu-Wind_Onshore,2002,64.1,0
Gansu-Wind_Onshore,2007,1325.9,0
Gansu-Wind_Onshore,2012,11130.0,0
Gansu-Wind_Onshore,2017,1210.0,0
Guangdong-Biomass,2012,782.1253918495297,0
Guangdong-Biomass,2017,2205.87460815047,0
Guangdong-Coal,1987,964.0,0
Guangdong-Coal,1992,2596.0,0
Guangdong-Coal,1997,5606.0,0
Guangdong-Coal,2002,6603.0,0
Guangdong-Coal,2007,21097.0,0
Guangdong-Coal,2012,18973.0,0
Guangdong-Coal,2017,8949.99999999998,0
Guangdong-Gas,2002,4135.0,0
Guangdong-Gas,2007,6366.0,0
Guangdong-Gas,2012,3944.0,0
Guangdong-Gas,2017,12190.9,0
Guangdong-Hydro_NonPumped,1982,516.61,0
Guangdong-Hydro_NonPumped,1987,815.5699999999999,0
Guangdong-Hydro_NonPumped,1992,1366.06,0
Guangdong-Hydro_NonPumped,1997,2600.82,0
Guangdong-Hydro_NonPumped,2002,2020.0,0
Guangdong-Hydro_NonPumped,2007,3560.0,0
Guangdong-Hydro_NonPumped,2012,510.0,0
Guangdong-Hydro_NonPumped,2017,50.0,0
Guangdong-Hydro_Pumped,1992,1200.0,0
Guangdong-Hydro_Pumped,1997,1200.0,0
Guangdong-Hydro_Pumped,2007,2389.015845960328,0
Guangdong-Hydro_Pumped,2012,320.0,0
Guangdong-Hydro_Pumped,2017,2860.0,0
Guangdong-Nuclear,1997,1968.0,0
Guangdong-Nuclear,2002,1812.0,0
Guangdong-Nuclear,2007,1250.0,0
Guangdong-Nuclear,2012,3260.0,0
Guangdong-Nuclear,2017,7850.0,0
Guangdong-Solar_Distributed,2012,560.0,0
Guangdong-Solar_Distributed,2017,3278.8000000000006,0
Guangdong-Solar_Utility,2012,70.0,0
Guangdong-Solar_Utility,2017,4018.2,0
Guangdong-Wind_Offshore_Near,2012,4.223300970873787,0
Guangdong-Wind_Offshore_Near,2017,1353.776699029126,0
Guangdong-Wind_Onshore,2007,620.0,0
Guangdong-Wind_Onshore,2012,1835.776699029126,0
Guangdong-Wind_Onshore,2017,1836.2233009708737,0
Guangxi-Biomass,2007,119.57575757575758,0
Guangxi-Biomass,2012,358.72727272727275,0
Guangxi-Biomass,2017,1494.6969696969695,0
Guangxi-Coal,1987,12.0,0
Guangxi-Coal,1992,24.0,0
Guangxi-Coal,1997,816.0,0
Guangxi-Coal,2002,1603.0,0
Guangxi-Coal,2007,5798.0,0
Guangxi-Coal,2012,5025.0,0
Guangxi-Coal,2017,6479.99999999999,0
Guangxi-Gas,2012,120.0,0
Guangxi-Gas,2017,780.0,0
Guangxi-Hydro_NonPumped,1982,351.6,0
Guangxi-Hydro_NonPumped,1987,555.0600000000001,0
Guangxi-Hydro_NonPumped,1992,929.72,0
Guangxi-Hydro_NonPumped,1997,1152.39,0
Guangxi-Hydro_NonPumped,2002,3280.0,0
Guangxi-Hydro_NonPumped,2007,7500.0,0
Guangxi-Hydro_NonPumped,2012,1120.0,0
Guangxi-Hydro_NonPumped,2017,560.0,0
Guangxi-Nuclear,2012,1090.0,0
Guangxi-Nuclear,2017,1080.0,0
Guangxi-Solar_Distributed,2012,70.0,0
Guangxi-Solar_Distributed,2017,396.3999999999996,0
Guangxi-Solar_Utility,2012,50.0,0
Guangxi-Solar_Utility,2017,1574.6000000000004,0
Guangxi-Wind_Onshore,2012,400.0,0
Guangxi-Wind_Onshore,2017,6130.0,0
Guizhou-Biomass,2012,162.0,0
Guizhou-Biomass,2017,162.0,0
Guizhou-Coal,1997,630.0,0
Guizhou-Coal,2002,5440.0,0
Guizhou-Coal,2007,13232.0,0
Guizhou-Coal,2012,8740.0,0
Guizhou-Coal,2017,7449.99999999999,0
Guizhou-Hydro_NonPumped,1982,210.02000000000004,0
Guizhou-Hydro_NonPumped,1987,331.56000000000006,0
Guizhou-Hydro_NonPumped,1992,555.3499999999999,0
Guizhou-Hydro_NonPumped,1997,563.45,0
Guizhou-Hydro_NonPumped,2002,4869.99,0
Guizhou-Hydro_NonPumped,2007,9320.0,0
Guizhou-Hydro_NonPumped,2012,4770.0,0
Guizhou-Hydro_NonPumped,2017,470.0,0
Guizhou-Solar_Distributed,2017,200.300000000002,0
Guizhou-Solar_Utility,2012,30.0,0
Guizhou-Solar_Utility,2017,9746.7,0
Guizhou-Wind_Onshore,2012,3230.0,0
Guizhou-Wind_Onshore,2017,2570.0,0
Hainan-Biomass,2017,130.0,0
Hainan-Coal,2002,210.0,0
Hainan-Coal,2007,1570.0,0
Hainan-Coal,2012,1700.0,0
Hainan-Gas,2002,590.0,0
Hainan-Gas,2017,920.0,0
Hainan-Hydro_NonPumped,1982,49.7,0
Hainan-Hydro_NonPumped,1987,78.46,0
Hainan-Hydro_NonPumped,1992,131.39999999999998,0
Hainan-Hydro_NonPumped,1997,114.93,0
Hainan-Hydro_NonPumped,2002,30.0,0
Hainan-Hydro_NonPumped,2007,360.0,0
Hainan-Hydro_NonPumped,2012,120.0,0
Hainan-Hydro_NonPumped,2017,10.0,0
Hainan-Hydro_Pumped,2017,600.0,0
Hainan-Nuclear,2012,650.0,0
Hainan-Nuclear,2017,650.0,0
Hainan-Solar_Distributed,2012,50.0,0
Hainan-Solar_Distributed,2017,120.0,0
Hainan-Solar_Utility,2012,190.0,0
Hainan-Solar_Utility,2017,1080.0,0
Hainan-Wind_Onshore,2007,210.0,0
Hainan-Wind_Onshore,2012,100.0,0
Hebei-Biomass,2007,205.2283464566929,0
Hebei-Biomass,2017,880.771653543307,0
Hebei-Coal,1987,788.0,0
Hebei-Coal,1992,3318.0,0
Hebei-Coal,1997,5836.0,0
Hebei-Coal,2002,6437.0,0
Hebei-Coal,2007,17026.0,0
Hebei-Coal,2012,7032.0,0
Hebei-Coal,2017,9099.999999999987,0
Hebei-Gas,2007,100.0,0
Hebei-Gas,2012,150.0,0
Hebei-Gas,2017,3196.0,0
Hebei-Hydro_NonPumped,1982,65.62,0
Hebei-Hydro_NonPumped,1987,103.62,0
Hebei-Hydro_NonPumped,1992,173.55,0
Hebei-Hydro_NonPumped,1997,168.57999999999998,0
Hebei-Hydro_NonPumped,2002,49.99000000000001,0
Hebei-Hydro_NonPumped,2007,1020.0,0
Hebei-Hydro_NonPumped,2012,10.0,0
Hebei-Hydro_NonPumped,2017,30.4,0
Hebei-Hydro_Pumped,1992,281.0,0
Hebei-Hydro_Pumped,2007,1839.228940586452,0
Hebei-Hydro_Pumped,2017,600.0,0
Hebei-Solar_Distributed,2012,270.0,0
Hebei-Solar_Distributed,2017,7177.800000000002,0
Hebei-Solar_Utility,2012,2120.0,0
Hebei-Solar_Utility,2017,12335.2,0
Hebei-Wind_Offshore_Near,2017,300.0,0
Hebei-Wind_Onshore,2002,48.0,0
Hebei-Wind_Onshore,2007,3672.0,0
Hebei-Wind_Onshore,2012,6500.0,0
Hebei-Wind_Onshore,2017,12220.0,0
Heilongjiang-Biomass,2007,189.94652406417117,0
Heilongjiang-Biomass,2012,205.77540106951872,0
Heilongjiang-Biomass,2017,1084.27807486631,0
Heilongjiang-Coal,1987,644.0,0
Heilongjiang-Coal,1992,822.0,0
Heilongjiang-Coal,1997,2348.0,0
Heilongjiang-Coal,2002,1535.0,0
Heilongjiang-Coal,2007,6430.0,0
Heilongjiang-Coal,2012,3350.0,0
Heilongjiang-Coal,2017,3599.99999999999,0
Heilongjiang-Hydro_NonPumped,1982,74.08000000000001,0
Heilongjiang-Hydro_NonPumped,1987,116.94,0
Heilongjiang-Hydro_NonPumped,1992,195.87,0
Heilongjiang-Hydro_NonPumped,1997,176.39,0
Heilongjiang-Hydro_NonPumped,2002,40.0,0
Heilongjiang-Hydro_NonPumped,2007,90.0,0
Heilongjiang-Hydro_NonPumped,2012,89.0,0
Heilongjiang-Hydro_NonPumped,2017,90.0,0
Heilongjiang-Hydro_Pumped,2017,300.0,0
Heilongjiang-Solar_Distributed,2012,10.0,0
Heilongjiang-Solar_Distributed,2017,807.1000000000004,0
Heilongjiang-Solar_Utility,2012,10.0,0
Heilongjiang-Solar_Utility,2017,2339.9,0
Heilongjiang-Wind_Onshore,2002,52.400000000000006,0
Heilongjiang-Wind_Onshore,2007,1857.6,0
Heilongjiang-Wind_Onshore,2012,3120.0,0
Heilongjiang-Wind_Onshore,2017,1830.0,0
Henan-Biomass,2007,58.267605633802816,0
Henan-Biomass,2012,116.53521126760565,0
Henan-Biomass,2017,1204.1971830985915,0
Henan-Coal,1987,432.0,0
Henan-Coal,1992,2085.0,0
Henan-Coal,1997,3250.0,0
Henan-Coal,2002,8167.0,0
Henan-Coal,2007,28883.0,0
Henan-Coal,2012,18565.0,0
Henan-Coal,2017,11599.999999999987,0
Henan-Gas,2007,1560.0,0
Henan-Gas,2017,1880.0,0
Henan-Hydro_NonPumped,1982,59.06,0
Henan-Hydro_NonPumped,1987,93.25,0
Henan-Hydro_NonPumped,1992,156.18,0
Henan-Hydro_NonPumped,1997,1024.72,0
Henan-Hydro_NonPumped,2002,1010.01,0
Henan-Hydro_NonPumped,2007,1110.0,0
Henan-Hydro_NonPumped,2012,340.0,0
Henan-Hydro_NonPumped,2017,80.0,0
Henan-Hydro_Pumped,2002,120.0,0
Henan-Solar_Distributed,2012,270.0,0
Henan-Solar_Distributed,2017,5447.5,0
Henan-Solar_Utility,2012,140.0,0
Henan-Solar_Utility,2017,5898.499999999999,0
Henan-Wind_Onshore,2007,50.0,0
Henan-Wind_Onshore,2012,860.0,0
Henan-Wind_Onshore,2017,14270.0,0
Hubei-Biomass,2012,427.695652173913,0
Hubei-Biomass,2017,665.304347826087,0
Hubei-Coal,1987,348.0,0
Hubei-Coal,1992,1080.0,0
Hubei-Coal,1997,4682.0,0
Hubei-Coal,2002,1599.0,0
Hubei-Coal,2007,8778.0,0
Hubei-Coal,2012,6486.0,0
Hubei-Coal,2017,8199.999999999998,0
Hubei-Gas,2002,123.0,0
Hubei-Gas,2007,185.0,0
Hubei-Gas,2012,370.0,0
Hubei-Gas,2017,265.0,0
Hubei-Hydro_NonPumped,1982,612.24,0
Hubei-Hydro_NonPumped,1987,966.55,0
Hubei-Hydro_NonPumped,1992,1618.9499999999998,0
Hubei-Hydro_NonPumped,1997,1832.75,0
Hubei-Hydro_NonPumped,2002,10819.99,0
Hubei-Hydro_NonPumped,2007,12960.0,0
Hubei-Hydro_NonPumped,2012,5500.0,0
Hubei-Hydro_NonPumped,2017,490.0,0
Hubei-Hydro_Pumped,2002,70.0,0
Hubei-Hydro_Pumped,2007,496.2505395004516,0
Hubei-Solar_Distributed,2012,60.0,0
Hubei-Solar_Distributed,2017,2069.4000000000005,0
Hubei-Solar_Utility,2012,430.0,0
Hubei-Solar_Utility,2017,4416.599999999999,0
Hubei-Wind_Onshore,2007,60.0,0
Hubei-Wind_Onshore,2012,1290.0,0
Hubei-Wind_Onshore,2017,3670.0,0
Hunan-Biomass,2012,405.9677419354839,0
Hunan-Biomass,2017,433.03225806451616,0
Hunan-Coal,1987,222.0,0
Hunan-Coal,1992,1038.0,0
Hunan-Coal,1997,918.0,0
Hunan-Coal,2002,2860.0,0
Hunan-Coal,2007,9547.0,0
Hunan-Coal,2012,3867.0,0
Hunan-Coal,2017,3360.0,0
Hunan-Gas,2012,270.0,0
Hunan-Hydro_NonPumped,1982,478.18,0
Hunan-Hydro_NonPumped,1987,754.8900000000001,0
Hunan-Hydro_NonPumped,1992,1264.41,0
Hunan-Hydro_NonPumped,1997,1769.6499999999996,0
Hunan-Hydro_NonPumped,2002,1990.0,0
Hunan-Hydro_NonPumped,2007,5140.0,0
Hunan-Hydro_NonPumped,2012,2100.0,0
Hunan-Hydro_NonPumped,2017,1440.0,0
Hunan-Solar_Distributed,2012,290.0,0
Hunan-Solar_Distributed,2017,1709.8000000000002,0
Hunan-Solar_Utility,2017,1906.2,0
Hunan-Wind_Onshore,2007,38.0,0
Hunan-Wind_Onshore,2012,1476.0,0
Hunan-Wind_Onshore,2017,5176.0,0
Jiangsu-Biomass,2007,115.47540983606558,0
Jiangsu-Biomass,2012,115.47540983606558,0
Jiangsu-Biomass,2017,2117.0491803278687,0
Jiangsu-Coal,1987,1067.0,0
Jiangsu-Coal,1992,3219.0,0
Jiangsu-Coal,1997,5236.0,0
Jiangsu-Coal,2002,16916.0,0
Jiangsu-Coal,2007,25680.0,0
Jiangsu-Coal,2012,18203.0,0
Jiangsu-Coal,2017,12739.999999999958,0
Jiangsu-Gas,2002,2466.0,0
Jiangsu-Gas,2007,1170.0,0
